"PROVINCIA","PORCENTAJE"
"ABANCAY","80.97"
"ACOBAMBA","76.39"
"ACOMAYO","81.82"
"AIJA","80.81"
"ALTO AMAZONAS","18.06"
"AMBO","65.37"
"ANDAHUAYLAS","88.52"
"ANGARAES","75.41"
"ANTA","83.71"
"ANTABAMBA","81.49"
"ANTONIO RAYMONDI","90.83"
"AREQUIPA","70.19"
"ASCOPE","89.07"
"ASUNCIÓN ","90.62"
"ATALAYA","24.63"
"AYABACA","51.23"
"AYMARAES","86.39"
"AZANGARO","29.49"
"BAGUA","77.72"
"BARRANCA","89.49"
"BELLAVISTA","51.83"
"BOLIVAR","62.45"
"BOLOGNESI","77.31"
"BONGARA","85.22"
"CAJABAMBA","81.78"
"CAJAMARCA","80.79"
"CAJATAMBO","71.55"
"CALCA","77.32"
"CALLAO","94.38"
"CAMANA","69.42"
"CANAS","58.42"
"CANCHIS","85.06"
"CANDARAVE","50.75"
"CANGALLO","85.33"
"CANTA","82.35"
"CAÑETE","81.04"
"CARABAYA","48.00"
"CARAVELI","70.75"
"CARHUAZ","86.69"
"CARLOS FERMIN FITZCARRALD","83.87"
"CASMA","73.25"
"CASTILLA","80.04"
"CASTROVIRREYNA","55.12"
"CAYLLOMA","71.28"
"CELENDIN","65.08"
"CHACHAPOYAS","86.56"
"CHANCHAMAYO","67.85"
"CHEPEN","82.36"
"CHICLAYO","83.43"
"CHINCHA","66.69"
"CHINCHEROS","89.31"
"CHOTA","61.99"
"CHUCUITO","36.38"
"CHUMBIVILCAS","64.60"
"CHUPACA","74.34"
"CHURCAMPA","74.40"
"CONCEPCION","79.39"
"CONDESUYOS","60.43"
"CONDORCANQUI","19.63"
"CONTRALMIRANTE VILLAR","74.83"
"CONTUMAZA","66.93"
"CORONEL PORTILLO","50.83"
"CORONGO","75.78"
"COTABAMBAS","68.33"
"CUSCO","88.82"
"CUTERVO","64.51"
"DANIEL ALCIDES CARRION","57.44"
"DATEM DEL MARAÑON","5.76"
"DOS DE MAYO","59.33"
"EL COLLAO","29.56"
"EL DORADO","74.39"
"ESPINAR","48.03"
"FERREÑAFE","66.12"
"GENERAL SANCHEZ CERRO","45.81"
"GRAN CHIMU","61.41"
"GRAU","78.46"
"HUACAYBAMBA","70.25"
"HUALGAYOC","53.40"
"HUALLAGA","73.77"
"HUAMALIES","74.10"
"HUAMANGA","80.04"
"HUANCA SANCOS","91.00"
"HUANCABAMBA","49.92"
"HUANCANE","44.89"
"HUANCAVELICA","72.72"
"HUANCAYO","85.71"
"HUANTA","73.23"
"HUANUCO","53.01"
"HUARAL","80.14"
"HUARAZ","85.40"
"HUARI","90.68"
"HUARMEY ","70.2"
"HUAROCHIRI","75.35"
"HUAURA","74.53"
"HUAYLAS","83.33"
"HUAYTARA","53.73"
"ICA","85.78"
"ILO","64.49"
"ISLAY","83.97"
"JAEN","65.38"
"JAUJA","81.73"
"JORGE BASADRE","82.29"
"JULCAN","52.17"
"JUNIN","73.75"
"LA CONVENCION","68.62"
"LA MAR","75.02"
"LA UNION","70.91"
"LAMAS","67.04"
"LAMBAYEQUE","69.17"
"LAMPA","36.86"
"LAURICOCHA","50.51"
"LEONCIO PRADO","44.00"
"LIMA","99.23"
"LORETO","11.03"
"LUCANAS","75.40"
"LUYA","85.52"
"MANU","44.77"
"MARAÑON","50.14"
"MARISCAL CACERES","58.41"
"MARISCAL LUZURIAGA","58.38"
"MARISCAL NIETO","75.44"
"MARISCAL RAMON CASTILLA","19.78"
"MAYNAS","38.85"
"MELGAR","58.46"
"MOHO","80.31"
"MORROPON","74.06"
"MOYOBAMBA","84.38"
"NAZCA","74.38"
"OCROS","68.50"
"OTUZCO","69.01"
"OXAPAMPA","50.06"
"OYON","87.14"
"PACASMAYO","85.74"
"PACHITEA","40.54"
"PADRE ABAD","61.17"
"PAITA","82.79"
"PALLASCA","84.60"
"PALPA","82.42"
"PARINACOCHAS","79.04"
"PARURO","86.48"
"PASCO","77.32"
"PATAZ","75.44"
"PAUCAR DEL SARA SARA","90.98"
"PAUCARTAMBO","60.47"
"PICOTA","73.40"
"PISCO","86.61"
"PIURA","74.35"
"POMABAMBA","87.49"
"PUERTO INCA","24.14"
"PUNO","32.47"
"PURUS","2.56"
"PUTUMAYO","3.57"
"QUISPICANCHI","79.42"
"RECUAY","67.27"
"REQUENA","21.38"
"RIOJA","82.38"
"RODRIGUEZ DE MENDOZA","81.14"
"SAN ANTONIO DE PUTINA","32.80"
"SAN IGNACIO","74.00"
"SAN MARCOS","79.21"
"SAN MARTIN","78.80"
"SAN MIGUEL","68.28"
"SAN PABLO","78.41"
"SAN ROMAN","40.65"
"SANCHEZ CARRION","60.25"
"SANDIA","36.11"
"SANTA ","76.99"
"SANTA CRUZ","72.07"
"SANTIAGO DE CHUCO","67.16"
"SATIPO","37.93"
"SECHURA","85.02"
"SIHUAS","81.58"
"SUCRE","80.09"
"SULLANA","79.35"
"TACNA","63.46"
"TAHUAMANU","63.46"
"TALARA","86.81"
"TAMBOPATA","66.13"
"TARATA","76.02"
"TARMA","71.01"
"TAYACAJA","75.10"
"TOCACHE","60.04"
"TRUJILLO","91.01"
"TUMBES","72.38"
"UCAYALI","43.12"
"URUBAMBA","89.93"
"UTCUBAMBA","69.20"
"VICTOR FAJARDO","89.08"
"VILCAS HUAMAN","81.56"
"VIRU","86.11"
"YAROWILCA","40.26"
"YAULI","77.25"
"YAUYOS","73.97"
"YUNGAY","87.49"
"YUNGUYO","81.04"
"ZARUMILLA","77.74"
